sample,total.transformations
Sample_S19S_0001_Sed,16969
Sample_S19S_0003_Sed,4387
Sample_S19S_0006_Sed,14429
Sample_S19S_0010_Sed,7596
Sample_S19S_0011_Sed,12432
Sample_S19S_0012_Sed,16028
Sample_S19S_0013_Sed,15979
Sample_S19S_0014_Sed,15891
Sample_S19S_0016_Sed,8302
Sample_S19S_0017_Sed,15666
Sample_S19S_0018_Sed,7382
Sample_S19S_0019_Sed,11656
Sample_S19S_0020_Sed,14237
Sample_S19S_0021_Sed,16031
Sample_S19S_0022_Sed,19057
Sample_S19S_0023_Sed,9724
Sample_S19S_0025_Sed,12430
Sample_S19S_0027_Sed,12386
Sample_S19S_0029_Sed,13178
Sample_S19S_0031_Sed,14054
Sample_S19S_0032_Sed,13042
Sample_S19S_0034_Sed,7647
Sample_S19S_0036_Sed,8125
Sample_S19S_0038_Sed,9348
Sample_S19S_0039_Sed,14766
Sample_S19S_0041_Sed,12258
Sample_S19S_0042_Sed,16716
Sample_S19S_0043_Sed,14588
Sample_S19S_0044_Sed,16353
Sample_S19S_0049_Sed,10007
Sample_S19S_0050_Sed,10270
Sample_S19S_0052_Sed,9466
Sample_S19S_0053_Sed,15505
Sample_S19S_0054_Sed,16577
Sample_S19S_0055_Sed,6917
Sample_S19S_0056_Sed,17825
Sample_S19S_0057_Sed,11262
Sample_S19S_0059_Sed,3635
Sample_S19S_0060_Sed,11540
Sample_S19S_0061_Sed,2702
Sample_S19S_0062_Sed,20381
Sample_S19S_0063_Sed,5366
Sample_S19S_0064_Sed,7741
Sample_S19S_0065_Sed,14698
Sample_S19S_0066_Sed,15421
Sample_S19S_0069_Sed,16194
Sample_S19S_0070_Sed,16389
Sample_S19S_0073_Sed,16416
Sample_S19S_0076_Sed,10584
Sample_S19S_0078_Sed,13688
Sample_S19S_0080_Sed,11898
Sample_S19S_0082_Sed,14451
Sample_S19S_0084_Sed,12502
Sample_S19S_0086_Sed,10422
Sample_S19S_0090_Sed,14540
Sample_S19S_0092_Sed,6007
Sample_S19S_0093_Sed,3606
Sample_S19S_0094_Sed,8853
Sample_S19S_0097_Sed,8497
Sample_S19S_0099_Sed,11376
Sample_S19S_0100_Sed,13817
