num.trans.involved.in,sample,peak
10,Sample_S19S_0013_Sed,240.0513448
17,Sample_S19S_0013_Sed,240.0877319
41,Sample_S19S_0013_Sed,241.03537
10,Sample_S19S_0013_Sed,241.0466195
24,Sample_S19S_0013_Sed,241.0717422
10,Sample_S19S_0013_Sed,241.0829909
12,Sample_S19S_0013_Sed,241.1081087
10,Sample_S19S_0013_Sed,241.1445007
21,Sample_S19S_0013_Sed,242.0670034
7,Sample_S19S_0013_Sed,242.1033669
19,Sample_S19S_0013_Sed,242.139775
3,Sample_S19S_0013_Sed,242.1761465
54,Sample_S19S_0013_Sed,243.0510224
12,Sample_S19S_0013_Sed,243.0622684
17,Sample_S19S_0013_Sed,243.0873816
20,Sample_S19S_0013_Sed,243.0986597
9,Sample_S19S_0013_Sed,243.1237626
15,Sample_S19S_0013_Sed,243.1601665
20,Sample_S19S_0013_Sed,244.0826525
24,Sample_S19S_0013_Sed,244.1190458
10,Sample_S19S_0013_Sed,244.1302798
48,Sample_S19S_0013_Sed,245.0455587
3,Sample_S19S_0013_Sed,245.0489119
75,Sample_S19S_0013_Sed,245.0666847
60,Sample_S19S_0013_Sed,245.1030642
4,Sample_S19S_0013_Sed,245.1142776
24,Sample_S19S_0013_Sed,245.1394342
9,Sample_S19S_0013_Sed,246.1095509
11,Sample_S19S_0013_Sed,246.134683
20,Sample_S19S_0013_Sed,247.024801
47,Sample_S19S_0013_Sed,247.0612011
67,Sample_S19S_0013_Sed,247.0823368
12,Sample_S19S_0013_Sed,247.0935696
56,Sample_S19S_0013_Sed,247.0975945
46,Sample_S19S_0013_Sed,247.118733
7,Sample_S19S_0013_Sed,247.1703275
15,Sample_S19S_0013_Sed,249.0040636
58,Sample_S19S_0013_Sed,249.0404675
61,Sample_S19S_0013_Sed,249.0768527
20,Sample_S19S_0013_Sed,249.1132224
33,Sample_S19S_0013_Sed,249.1496147
9,Sample_S19S_0013_Sed,250.1448617
50,Sample_S19S_0013_Sed,251.0197332
35,Sample_S19S_0013_Sed,251.0560986
4,Sample_S19S_0013_Sed,251.0594793
2,Sample_S19S_0013_Sed,251.0785764
87,Sample_S19S_0013_Sed,251.0925063
4,Sample_S19S_0013_Sed,251.0958765
28,Sample_S19S_0013_Sed,251.1136461
40,Sample_S19S_0013_Sed,251.1289035
16,Sample_S19S_0013_Sed,252.0877348
66,Sample_S19S_0013_Sed,253.0353983
91,Sample_S19S_0013_Sed,253.0717756
23,Sample_S19S_0013_Sed,253.1081345
43,Sample_S19S_0013_Sed,253.1445337
16,Sample_S19S_0013_Sed,254.0670222
73,Sample_S19S_0013_Sed,255.0510433
7,Sample_S19S_0013_Sed,255.0622462
92,Sample_S19S_0013_Sed,255.0874163
24,Sample_S19S_0013_Sed,255.1237776
41,Sample_S19S_0013_Sed,255.1602018
13,Sample_S19S_0013_Sed,255.2329705
26,Sample_S19S_0013_Sed,256.0826837
59,Sample_S19S_0013_Sed,257.030304
37,Sample_S19S_0013_Sed,257.0455598
73,Sample_S19S_0013_Sed,257.0666765
10,Sample_S19S_0013_Sed,257.0779166
48,Sample_S19S_0013_Sed,257.1030521
23,Sample_S19S_0013_Sed,257.1143128
51,Sample_S19S_0013_Sed,257.1394516
30,Sample_S19S_0013_Sed,257.175834
23,Sample_S19S_0013_Sed,257.2122374
20,Sample_S19S_0013_Sed,258.0619166
31,Sample_S19S_0013_Sed,258.0983343
17,Sample_S19S_0013_Sed,258.1347123
14,Sample_S19S_0013_Sed,258.145966
33,Sample_S19S_0013_Sed,259.0248281
62,Sample_S19S_0013_Sed,259.0459547
78,Sample_S19S_0013_Sed,259.0823405
17,Sample_S19S_0013_Sed,259.0935801
58,Sample_S19S_0013_Sed,259.1187072
18,Sample_S19S_0013_Sed,259.1299532
45,Sample_S19S_0013_Sed,259.1551113
15,Sample_S19S_0013_Sed,260.1503532
39,Sample_S19S_0013_Sed,261.040468
46,Sample_S19S_0013_Sed,261.061588
69,Sample_S19S_0013_Sed,261.0768598
52,Sample_S19S_0013_Sed,261.0980071
43,Sample_S19S_0013_Sed,261.1132477
3,Sample_S19S_0013_Sed,261.1244971
53,Sample_S19S_0013_Sed,261.1343647
1,Sample_S19S_0013_Sed,261.9555802
27,Sample_S19S_0013_Sed,263.019721
60,Sample_S19S_0013_Sed,263.0561329
20,Sample_S19S_0013_Sed,263.0924815
31,Sample_S19S_0013_Sed,263.128908
1,Sample_S19S_0013_Sed,264.0473979
13,Sample_S19S_0013_Sed,264.1605215
58,Sample_S19S_0013_Sed,265.0353938
4,Sample_S19S_0013_Sed,265.0578564
66,Sample_S19S_0013_Sed,265.0717855
78,Sample_S19S_0013_Sed,265.1081545
3,Sample_S19S_0013_Sed,265.1479151
8,Sample_S19S_0013_Sed,265.1575521
5,Sample_S19S_0013_Sed,266.089493
21,Sample_S19S_0013_Sed,266.1034196
33,Sample_S19S_0013_Sed,267.0146829
79,Sample_S19S_0013_Sed,267.0510336
6,Sample_S19S_0013_Sed,267.0735078
84,Sample_S19S_0013_Sed,267.0874299
76,Sample_S19S_0013_Sed,267.123805
39,Sample_S19S_0013_Sed,267.1601848
23,Sample_S19S_0013_Sed,268.0462977
46,Sample_S19S_0013_Sed,269.0303205
84,Sample_S19S_0013_Sed,269.0666802
76,Sample_S19S_0013_Sed,269.1030627
53,Sample_S19S_0013_Sed,269.1394657
36,Sample_S19S_0013_Sed,269.1758579
29,Sample_S19S_0013_Sed,270.0619439
28,Sample_S19S_0013_Sed,270.0983057
49,Sample_S19S_0013_Sed,271.0459737
65,Sample_S19S_0013_Sed,271.0823212
26,Sample_S19S_0013_Sed,271.0935785
76,Sample_S19S_0013_Sed,271.118718
19,Sample_S19S_0013_Sed,271.1299759
40,Sample_S19S_0013_Sed,271.1551343
37,Sample_S19S_0013_Sed,271.1914941
19,Sample_S19S_0013_Sed,271.227892
33,Sample_S19S_0013_Sed,272.0775888
25,Sample_S19S_0013_Sed,272.1139554
13,Sample_S19S_0013_Sed,272.1504094
40,Sample_S19S_0013_Sed,273.040478
52,Sample_S19S_0013_Sed,273.061591
73,Sample_S19S_0013_Sed,273.0979879
19,Sample_S19S_0013_Sed,273.109239
49,Sample_S19S_0013_Sed,273.1343844
46,Sample_S19S_0013_Sed,273.1707658
27,Sample_S19S_0013_Sed,273.2071526
25,Sample_S19S_0013_Sed,274.0932637
24,Sample_S19S_0013_Sed,274.1296219
15,Sample_S19S_0013_Sed,274.1408667
39,Sample_S19S_0013_Sed,275.0197425
49,Sample_S19S_0013_Sed,275.0561155
68,Sample_S19S_0013_Sed,275.0772487
59,Sample_S19S_0013_Sed,275.0925149
61,Sample_S19S_0013_Sed,275.1136274
43,Sample_S19S_0013_Sed,275.1500444
19,Sample_S19S_0013_Sed,276.108923
55,Sample_S19S_0013_Sed,277.0354157
62,Sample_S19S_0013_Sed,277.0717892
41,Sample_S19S_0013_Sed,277.0929294
70,Sample_S19S_0013_Sed,277.1081544
37,Sample_S19S_0013_Sed,277.1293085
44,Sample_S19S_0013_Sed,277.1445377
1,Sample_S19S_0013_Sed,278.0630512
20,Sample_S19S_0013_Sed,279.0146331
62,Sample_S19S_0013_Sed,279.0510516
41,Sample_S19S_0013_Sed,279.0874539
18,Sample_S19S_0013_Sed,279.0986672
47,Sample_S19S_0013_Sed,279.1238221
4,Sample_S19S_0013_Sed,279.1562152
42,Sample_S19S_0013_Sed,279.160186
3,Sample_S19S_0013_Sed,279.1635618
1,Sample_S19S_0013_Sed,280.0600822
1,Sample_S19S_0013_Sed,280.068733
23,Sample_S19S_0013_Sed,280.0826921
11,Sample_S19S_0013_Sed,280.1038615
51,Sample_S19S_0013_Sed,281.0303339
83,Sample_S19S_0013_Sed,281.0666829
35,Sample_S19S_0013_Sed,281.1030502
66,Sample_S19S_0013_Sed,281.1394597
35,Sample_S19S_0013_Sed,281.1758716
3,Sample_S19S_0013_Sed,282.0844159
19,Sample_S19S_0013_Sed,282.0983548
73,Sample_S19S_0013_Sed,283.0459554
43,Sample_S19S_0013_Sed,283.0823169
88,Sample_S19S_0013_Sed,283.118715
2,Sample_S19S_0013_Sed,283.1373752
43,Sample_S19S_0013_Sed,283.1551309
