num.trans.involved.in,sample,peak
35,Sample_S19S_0081_Wat,201.0404313
33,Sample_S19S_0081_Wat,201.0768122
28,Sample_S19S_0081_Wat,201.1131969
36,Sample_S19S_0081_Wat,203.0560881
15,Sample_S19S_0081_Wat,203.0924536
35,Sample_S19S_0081_Wat,205.0142188
32,Sample_S19S_0081_Wat,205.0505947
17,Sample_S19S_0081_Wat,205.086978
7,Sample_S19S_0081_Wat,205.1597578
43,Sample_S19S_0081_Wat,207.0298709
40,Sample_S19S_0081_Wat,207.066249
19,Sample_S19S_0081_Wat,209.0091207
39,Sample_S19S_0081_Wat,209.0455114
37,Sample_S19S_0081_Wat,209.0818981
13,Sample_S19S_0081_Wat,210.0407624
56,Sample_S19S_0081_Wat,211.0247874
62,Sample_S19S_0081_Wat,211.0611736
36,Sample_S19S_0081_Wat,211.097555
19,Sample_S19S_0081_Wat,212.0564229
34,Sample_S19S_0081_Wat,213.0404285
47,Sample_S19S_0081_Wat,213.0768216
29,Sample_S19S_0081_Wat,213.1132092
6,Sample_S19S_0081_Wat,214.050931
40,Sample_S19S_0081_Wat,215.0560786
40,Sample_S19S_0081_Wat,215.0924726
22,Sample_S19S_0081_Wat,215.1288446
18,Sample_S19S_0081_Wat,217.0505866
45,Sample_S19S_0081_Wat,217.0717431
34,Sample_S19S_0081_Wat,217.1081169
50,Sample_S19S_0081_Wat,219.0298823
23,Sample_S19S_0081_Wat,219.0662407
22,Sample_S19S_0081_Wat,221.0091259
45,Sample_S19S_0081_Wat,221.0455191
21,Sample_S19S_0081_Wat,221.048891
25,Sample_S19S_0081_Wat,221.0818912
5,Sample_S19S_0081_Wat,222.0407486
51,Sample_S19S_0081_Wat,223.0247931
25,Sample_S19S_0081_Wat,223.0611523
45,Sample_S19S_0081_Wat,223.0975605
28,Sample_S19S_0081_Wat,224.0564233
81,Sample_S19S_0081_Wat,225.0404494
58,Sample_S19S_0081_Wat,225.0768195
21,Sample_S19S_0081_Wat,225.1131873
32,Sample_S19S_0081_Wat,226.072077
24,Sample_S19S_0081_Wat,227.0196895
